Date,Brand,Region,Sales Volume,Revenue ($),Average Price per Unit ($)
2022-12-02,Gucci,Australia,23,27600,1200
2022-10-27,Chanel,Asia,98,294000,3000
2023-05-06,Louis Vuitton,Asia,68,170000,2500
2022-09-21,Louis Vuitton,Asia,22,55000,2500
2023-11-20,Gucci,Australia,99,118800,1200
2024-11-10,Gucci,North America,92,110400,1200
2023-02-24,Rolex,North America,82,656000,8000
2024-01-31,Louis Vuitton,Asia,86,215000,2500
2023-03-19,Chanel,Middle East,82,246000,3000
2023-12-28,Dior,North America,3,4500,1500
2023-03-09,Dior,Asia,98,147000,1500
2022-05-02,Gucci,Europe,52,62400,1200
2023-03-31,Dior,North America,6,9000,1500
2022-06-28,Rolex,Australia,69,552000,8000
2023-01-02,Rolex,Europe,98,784000,8000
2024-10-09,Dior,Australia,39,58500,1500
2024-07-17,Louis Vuitton,North America,74,185000,2500
2024-10-15,Chanel,Asia,55,165000,3000
2023-10-05,Gucci,Middle East,54,64800,1200
2023-11-30,Dior,Middle East,47,70500,1500
2022-12-09,Gucci,North America,49,58800,1200
2024-12-08,Louis Vuitton,Middle East,61,152500,2500
2023-12-16,Dior,North America,49,73500,1500
2022-02-24,Louis Vuitton,Europe,10,25000,2500
2021-06-25,Chanel,North America,38,114000,3000
2023-07-18,Dior,North America,93,139500,1500
2023-05-20,Dior,Europe,20,30000,1500
2024-01-02,Louis Vuitton,Australia,35,87500,2500
2023-08-18,Dior,Australia,42,63000,1500
2025-01-27,Gucci,Middle East,52,62400,1200
2022-12-02,Chanel,North America,37,111000,3000
2024-08-31,Rolex,North America,75,600000,8000
2023-08-22,Rolex,North America,6,48000,8000
2023-09-21,Dior,Australia,8,12000,1500
2022-03-01,Chanel,Europe,24,72000,3000
2022-10-12,Chanel,Europe,75,225000,3000
2021-03-29,Louis Vuitton,Asia,82,205000,2500
2021-11-06,Gucci,Australia,67,80400,1200
2025-02-27,Chanel,Europe,38,114000,3000
2024-08-09,Gucci,Middle East,48,57600,1200
2021-09-15,Rolex,Asia,45,360000,8000
